timestamp,raw
2025-11-14 21:26:01,38469
2025-11-14 21:26:31,38495
2025-11-14 21:27:01,38463
2025-11-14 21:27:31,38473
2025-11-14 21:28:01,38445
2025-11-14 21:28:31,38433
2025-11-14 21:29:01,38447
2025-11-14 21:29:31,38497
2025-11-14 21:30:01,38461
2025-11-14 21:30:31,38473
2025-11-14 21:31:01,38465
2025-11-14 21:31:31,38475
2025-11-14 21:31:49,38463
2025-11-14 21:32:19,38463
2025-11-14 21:32:53,38459
2025-11-14 21:34:53,38473
2025-11-14 21:36:53,38481
2025-11-14 21:38:53,38463
2025-11-14 21:40:53,38467
2025-11-14 21:42:53,38475
2025-11-14 21:44:53,38465
2025-11-14 21:46:53,38475
2025-11-14 21:48:53,38453
2025-11-14 21:50:53,38457
2025-11-14 21:52:53,38595
2025-11-14 21:54:53,38565
2025-11-14 21:56:53,38555
2025-11-14 21:58:53,38597
2025-11-14 22:00:53,38569
2025-11-14 22:02:53,38579
2025-11-14 22:04:53,38585
2025-11-14 22:06:53,38579
2025-11-14 22:08:53,38571
2025-11-14 22:10:53,38601
2025-11-14 22:12:53,38573
2025-11-14 22:14:53,38591
2025-11-14 22:16:54,38593
2025-11-14 22:18:54,38577
2025-11-14 22:20:54,38585
2025-11-14 22:22:54,38557
2025-11-14 22:24:54,38593
2025-11-14 22:26:54,38599
2025-11-14 22:28:54,38585
2025-11-14 22:30:54,38587
2025-11-14 22:32:54,38605
2025-11-14 22:34:54,38619
2025-11-14 22:36:54,38583
2025-11-14 22:38:54,38607
2025-11-14 22:40:54,38603
2025-11-14 22:42:54,38621
2025-11-14 22:44:54,38627
2025-11-14 22:46:54,38613
2025-11-14 23:48:47,38617
2025-11-14 23:50:47,38621
2025-11-14 23:52:47,38593
2025-11-14 23:54:47,38617
2025-11-14 23:56:47,38635
2025-11-14 23:58:47,38637
2025-11-15 00:00:47,38625
2025-11-15 00:02:48,38629
2025-11-15 00:04:48,38631
2025-11-15 00:06:48,38595
2025-11-15 00:08:48,38597
2025-11-15 00:10:48,38609
2025-11-15 00:12:48,38573
2025-11-15 00:14:48,38565
2025-11-15 00:16:48,38599
2025-11-15 00:18:48,38589
2025-11-15 00:20:48,38609
2025-11-15 00:22:48,38611
2025-11-15 00:24:48,38619
2025-11-15 00:26:48,38627
2025-11-15 00:28:48,38625
2025-11-15 00:30:48,38623
2025-11-15 00:32:48,38615
2025-11-15 00:34:48,39387
2025-11-15 00:36:48,39417
2025-11-15 00:38:48,39429
2025-11-15 00:40:06,39475
2025-11-15 00:42:06,39461
2025-11-15 00:44:06,39467
2025-11-15 00:46:06,39451
