timestamp,value
2025-11-13 11:06:44,252
2025-11-13 11:07:14,209
2025-11-13 11:07:45,208
2025-11-13 11:08:15,204
2025-11-13 11:08:46,202
2025-11-13 11:09:16,196
2025-11-13 11:09:47,204
2025-11-13 11:10:17,200
2025-11-13 11:10:48,207
2025-11-13 11:11:18,202
2025-11-13 11:11:49,208
2025-11-13 11:12:19,207
2025-11-13 11:12:50,214
2025-11-13 11:13:20,224
2025-11-13 11:13:51,225
2025-11-13 11:14:21,221
2025-11-13 11:14:52,222
2025-11-13 11:15:23,206
2025-11-13 11:15:53,214
2025-11-13 11:16:24,213
2025-11-13 11:16:54,211
2025-11-13 11:17:25,209
2025-11-13 11:17:55,213
2025-11-13 11:18:26,208
2025-11-13 11:18:56,199
2025-11-13 11:19:27,199
2025-11-13 11:19:57,203
2025-11-13 11:20:28,199
2025-11-13 11:20:58,190
2025-11-13 11:21:29,188
2025-11-13 11:21:59,197
2025-11-13 11:22:30,191
2025-11-13 11:23:00,196
2025-11-13 11:23:31,198
2025-11-13 11:24:01,138
2025-11-13 11:24:32,185
2025-11-13 11:25:02,182
2025-11-13 11:25:33,180
2025-11-13 11:26:03,171
2025-11-13 11:26:34,165
2025-11-13 11:27:04,54
2025-11-13 11:27:35,144
2025-11-13 11:28:05,160
2025-11-13 11:28:36,170
2025-11-13 11:29:06,170
2025-11-13 11:29:37,172
2025-11-13 11:30:07,180
2025-11-13 11:30:38,184
2025-11-13 11:31:08,186
2025-11-13 11:31:39,185
2025-11-13 11:32:10,178
2025-11-13 11:32:40,170
2025-11-13 11:33:11,170
2025-11-13 11:33:41,165
2025-11-13 11:34:12,142
2025-11-13 11:34:42,150
2025-11-13 11:35:13,151
2025-11-13 11:35:43,156
2025-11-13 11:36:14,167
2025-11-13 11:36:44,165
2025-11-13 11:37:15,162
2025-11-13 11:37:45,165
2025-11-13 11:38:16,167
2025-11-13 11:38:46,165
2025-11-13 11:39:17,162
2025-11-13 11:39:47,161
2025-11-13 11:40:18,170
2025-11-13 11:40:48,168
2025-11-13 11:41:19,170
2025-11-13 11:41:49,170
2025-11-13 11:42:20,164
2025-11-13 11:42:50,160
2025-11-13 11:43:21,167
2025-11-13 11:43:51,163
2025-11-13 11:44:22,164
2025-11-13 11:44:52,162
2025-11-13 11:45:23,160
2025-11-13 11:45:53,157
2025-11-13 11:46:24,164
2025-11-13 11:46:54,160
2025-11-13 11:47:25,161
2025-11-13 11:47:55,162
2025-11-13 11:48:26,161
2025-11-13 11:48:56,160
2025-11-13 11:49:27,157
2025-11-13 11:49:57,157
2025-11-13 11:50:28,153
2025-11-13 11:50:58,150
2025-11-13 11:51:29,150
2025-11-13 11:51:59,157
2025-11-13 11:52:30,156
2025-11-13 11:53:00,154
2025-11-13 11:53:31,153
2025-11-13 11:54:01,151
2025-11-13 11:54:32,150
2025-11-13 11:55:03,147
2025-11-13 11:55:33,144
2025-11-13 11:56:04,140
2025-11-13 11:56:34,140
2025-11-13 11:57:05,141
2025-11-13 11:57:35,140
2025-11-13 11:58:06,142
2025-11-13 11:58:36,142
2025-11-13 11:59:07,140
2025-11-13 11:59:37,150
2025-11-13 12:00:08,150
2025-11-13 12:00:38,148
2025-11-13 12:01:09,137
2025-11-13 12:01:39,131
2025-11-13 12:02:10,135
2025-11-13 12:02:40,129
2025-11-13 12:03:11,139
2025-11-13 12:03:41,135
2025-11-13 12:04:12,134
2025-11-13 12:04:42,140
2025-11-13 12:05:13,140
2025-11-13 12:05:43,136
2025-11-13 12:06:14,129
2025-11-13 12:06:44,140
2025-11-13 12:07:15,140
2025-11-13 12:07:45,140
2025-11-13 12:08:16,139
2025-11-13 12:08:46,141
2025-11-13 12:09:17,71
2025-11-13 12:09:48,82
2025-11-13 12:10:18,20
2025-11-13 12:10:49,637
2025-11-13 12:11:19,759
2025-11-13 12:11:50,753
2025-11-13 12:12:20,731
2025-11-13 12:12:51,720
2025-11-13 12:13:21,716
2025-11-13 12:13:52,699
2025-11-13 12:14:22,685
2025-11-13 12:14:53,670
2025-11-13 12:15:23,679
2025-11-13 12:15:54,680
2025-11-13 12:16:24,690
2025-11-13 12:16:55,701
2025-11-13 12:17:25,697
2025-11-13 12:17:56,706
2025-11-13 12:18:26,700
2025-11-13 12:18:57,721
2025-11-13 12:19:27,760
2025-11-13 12:19:58,774
2025-11-13 12:20:29,780
2025-11-13 12:20:59,784
2025-11-13 12:21:30,768
2025-11-13 12:22:00,772
2025-11-13 12:22:31,783
2025-11-13 12:23:01,772
2025-11-13 12:23:32,775
2025-11-13 12:24:02,778
2025-11-13 12:24:33,769
2025-11-13 12:25:03,773
2025-11-13 12:25:34,775
2025-11-13 12:26:05,775
2025-11-13 12:26:35,772
2025-11-13 12:27:06,785
2025-11-13 12:27:36,784
2025-11-13 12:28:07,776
2025-11-13 12:28:37,778
2025-11-13 12:29:08,780
2025-11-13 12:29:39,760
2025-11-13 12:30:09,765
2025-11-13 12:30:40,764
2025-11-13 12:31:10,753
2025-11-13 12:31:41,743
2025-11-13 12:32:11,741
2025-11-13 12:32:42,740
2025-11-13 12:33:12,735
2025-11-13 12:33:43,719
2025-11-13 12:34:13,714
2025-11-13 12:34:44,718
2025-11-13 12:35:15,708
2025-11-13 12:35:45,715
2025-11-13 12:36:16,709
2025-11-13 12:36:46,711
